model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,nodes
lgbm_quant,california_housing,16,16,1,0.0,0.7894583660131251,0.813798099876105,48
lgbm_base,mushroom,128,128,8,0.0,1.0,1.0,7088
lgbm_quant,mushroom,128,128,8,0.0,1.0,1.0,7088
lgbm_base,kin8nm,256,256,4,0.0,0.011557199105953113,0.01996565293824776,6214
lgbm_quant,kin8nm,256,256,4,0.0,8.077317637319231,7.999197064950366,6214
lgbm_base,covtype,512,512,8,0.0,0.9052169815988933,0.8966377804359612,31232
lgbm_base,kin8nm,256,256,2,0.0,0.028961888678099495,0.03388649628994692,1716
lgbm_quant,kin8nm,256,256,2,0.0,13.756406748096765,13.814080570205054,1716
lgbm_base,kin8nm,4,4,8,0.0,0.04998147940622075,0.0533885936965482,244
lgbm_quant,kin8nm,4,4,8,0.0,0.049988101279279606,0.053390185491624685,244
lgbm_base,kin8nm,1,1,2,0.0,0.06515247310321194,0.06727767318467717,7
lgbm_quant,kin8nm,1,1,2,0.0,0.06518334980728885,0.06730758528095297,7
lgbm_base,mushroom,16,16,1,0.0,0.9589167564240653,0.96,48
lgbm_base,kin8nm,2,2,4,0.0,0.05997060874120361,0.06229966126560036,62
lgbm_quant,kin8nm,2,2,4,0.0,0.059979106272683054,0.0623070006627788,62
lgbm_quant,mushroom,16,16,1,0.0,0.9589167564240653,0.96,48
lgbm_base,kin8nm,16,16,1,0.0,0.05083839392980076,0.052482721896492154,48
lgbm_quant,kin8nm,16,16,1,0.0,0.05083702979087428,0.05248046751535479,48
lgbm_base,mushroom,4,4,8,0.0,0.99523003539006,0.9969230769230769,234
lgbm_quant,mushroom,4,4,8,0.0,0.99523003539006,0.9969230769230769,234
lgbm_base,california_housing,32,32,2,0.0,0.4725593596609104,0.5004066485647001,224
lgbm_base,kin8nm,64,64,8,0.0,0.011184646279341915,0.01870456064623168,3904
lgbm_base,covtype,256,256,2,0.0,0.7810713647971532,0.7780522017503851,1792
lgbm_quant,california_housing,32,32,2,0.0,0.47317461986703085,0.5006244500467487,224
lgbm_base,mushroom,2,2,4,0.0,0.9783043545160794,0.976,54
lgbm_base,california_housing,2,2,4,0.0,1.0593132083603463,1.080857258574948,62
lgbm_quant,mushroom,2,2,4,0.0,0.9783043545160794,0.976,54
lgbm_quant,california_housing,2,2,4,0.0,1.0594708893038751,1.080855065516866,62
lgbm_quant,kin8nm,64,64,8,0.0,0.01120533670369783,0.018701950052275366,3904
lgbm_base,mushroom,512,512,1,0.0,0.9992306508693645,0.9981538461538462,1536
lgbm_base,california_housing,64,64,4,0.0,0.24439472321884786,0.27925099443468726,1888
lgbm_base,california_housing,1,1,2,0.0,1.2145301539886326,1.2337483039795372,7
lgbm_quant,california_housing,1,1,2,0.0,0.2793256830553147,0.31458020946393456,7
lgbm_quant,california_housing,64,64,4,0.0,0.2793256830553147,0.31458020946393456,1888
lgbm_base,california_housing,512,512,1,0.0,0.3403867556106396,0.36724007743495546,1536
lgbm_base,california_housing,128,128,8,0.0,0.14496779396569257,0.21734658075268826,7808
lgbm_quant,california_housing,512,512,1,0.0,0.3435194546825576,0.36941993090700576,1536
lgbm_quant,california_housing,128,128,8,0.0,0.1554384610626061,0.2235564250560356,7808
lgbm_base,mushroom,1024,1024,2,0.0,1.0,1.0,5858
lgbm_base,california_housing,1024,1024,2,0.0,0.20764467198422698,0.24397604458415414,7168
lgbm_quant,mushroom,1024,1024,2,0.0,1.0,1.0,5858
lgbm_base,mushroom,1,1,2,0.0,0.9106016310201569,0.912,7
lgbm_quant,mushroom,1,1,2,0.0,0.9106016310201569,0.912,7
lgbm_quant,california_housing,1024,1024,2,0.0,54.981699313016215,55.404182316477545,7168
lgbm_base,kin8nm,512,512,8,0.0,0.00136750657437493,0.012430973525892687,30710
lgbm_quant,kin8nm,512,512,8,0.0,148.13259919937178,148.51243811014197,30710
lgbm_base,breastcancer,128,128,4,0.0,1.0,0.9649122807017544,2412
lgbm_quant,breastcancer,128,128,4,0.0,1.0,0.9649122807017544,2412
ccp,breastcancer,1,1,4,0.125,1.1774519584756584,0.6052631578947368,3
ccp,breastcancer,2,2,4,0.5,1.3147153436040961,0.6052631578947368,2
ccp,breastcancer,4,4,1,0.03125,0.8940938962336461,0.9035087719298246,12
ccp,breastcancer,4,4,8,0.5,1.3147153436040961,0.6052631578947368,4
ccp,breastcancer,4,4,2,0.0078125,0.8403433585846227,0.8947368421052632,24
ccp,breastcancer,1,1,2,0.5,1.3147153436040961,0.6052631578947368,1
ccp,breastcancer,2,2,8,0.125,1.068113265289999,0.6052631578947368,6
ccp,breastcancer,1,1,8,0.03125,1.1774519584756584,0.6052631578947368,3
ccp,breastcancer,32,32,2,0.5,1.3147153436040961,0.6052631578947368,32
ccp,breastcancer,16,16,2,0.125,1.068105480973457,0.6052631578947368,20
ccp,breastcancer,16,16,1,0.5,1.3147153436040961,0.6052631578947368,16
ccp,breastcancer,16,16,8,0.0078125,0.3658384331218799,0.9210526315789473,74
ccp,breastcancer,8,8,2,0.03125,0.6645078067219299,0.9210526315789473,24
ccp,breastcancer,16,16,4,0.03125,0.5867825945195384,0.9298245614035088,36
ccp,breastcancer,8,8,4,0.0078125,0.5808461159794722,0.9210526315789473,48
ccp,breastcancer,8,8,1,0.125,1.0681073720107206,0.6052631578947368,12
ccp,breastcancer,32,32,4,0.125,1.0681050654476905,0.6052631578947368,36
lgbm_base,breastcancer,256,256,8,0.0,1.0,0.9649122807017544,5636
lgbm_quant,breastcancer,256,256,8,0.0,1.0,0.9649122807017544,5636
ccp,breastcancer,128,128,1,0.03125,0.5867787608575443,0.9298245614035088,148
ccp,breastcancer,2,2,1,0.0078125,1.068113265289999,0.6052631578947368,6
ccp,breastcancer,64,64,8,0.125,1.068105050686538,0.6052631578947368,68
ccp,breastcancer,128,128,2,0.0078125,0.3351302432196715,0.9210526315789473,186
ccp,breastcancer,32,32,8,0.03125,0.5867788925692016,0.9298245614035088,52
ccp,breastcancer,64,64,1,0.0078125,0.3674293544271313,0.9210526315789473,104
ccp,breastcancer,64,64,4,0.5,1.3147153436040961,0.6052631578947368,64
ccp,breastcancer,256,256,1,0.125,1.068105050669113,0.6052631578947368,260
ccp,breastcancer,128,128,8,0.5,1.3147153436040961,0.6052631578947368,128
ccp,breastcancer,256,256,2,0.03125,0.5867787608575442,0.9298245614035088,276
ccp,breastcancer,512,512,1,0.5,1.3147153436040961,0.6052631578947368,512
