model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,nodes
cegb,covtype_multi,2,14,1,0.03125,0.6307730702288467,0.6304226224796262,36
cegb,breastcancer,2,2,4,0.0625,0.6285714285714286,0.6228070175438597,12
cegb,covtype_multi,1,7,4,0.5,0.48794451054088883,0.48621808387046805,7
cegb,breastcancer,1024,25,4,0.03125,0.9846153846153847,0.9649122807017544,171
cegb,kr-vs-kp,16,7,1,0.125,0.9025821596244131,0.9109375,21
cegb,kr-vs-kp,8,8,2,0.0078125,0.9025821596244131,0.9109375,42
cegb,kr-vs-kp,16,16,4,0.0078125,0.9432707355242567,0.93125,180
cegb,kr-vs-kp,8,1,8,0.5,0.5199530516431925,0.53125,1
cegb,covtype_multi,4,28,2,0.0625,0.6363129801703495,0.6357064791786787,98
cegb,covtype_multi,1,7,8,0.125,0.4880520816077141,0.48626111201948313,189
cegb,kr-vs-kp,4,3,8,0.125,0.9432707355242567,0.93125,29
cegb,kr-vs-kp,64,14,8,0.03125,0.9675273865414711,0.9484375,270
cegb,kr-vs-kp,32,14,4,0.03125,0.9432707355242567,0.93125,134
cegb,kr-vs-kp,32,1,1,0.5,0.5199530516431925,0.53125,1
cegb,breastcancer,2,2,8,0.015625,0.6285714285714286,0.6228070175438597,18
cegb,kr-vs-kp,8,8,1,0.03125,0.9025821596244131,0.9109375,24
cegb,kr-vs-kp,32,3,2,0.125,0.9025821596244131,0.9109375,15
cegb,kr-vs-kp,16,16,2,0.03125,0.9385758998435054,0.9328125,92
cegb,kr-vs-kp,256,49,1,0.03125,0.9417057902973396,0.925,147
cegb,kr-vs-kp,32,26,8,0.0078125,0.9769170579029735,0.9578125,784
cegb,covtype,256,1,1,0.25,0.5120554894591112,0.513781916129532,1
cegb,kr-vs-kp,256,52,2,0.0078125,0.9432707355242567,0.93125,326
cegb,kr-vs-kp,128,1,4,0.5,0.5199530516431925,0.53125,1
cegb,kr-vs-kp,64,1,2,0.5,0.5199530516431925,0.53125,1
