model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,mean
ccp,kr-vs-kp,8,8,8,0.0,0.5586434287009028,0.0,0.9765625,706,0.9687018407534248
cegb,breastcancer,1,1,4,0.0625,0.6175824175824176,0.0,0.6666666666666666,7,0.6175824175824176
lgbm_base,kr-vs-kp,64,64,2,0.0,0.9389671361502347,0.0,0.9484375,444,0.93974896037182
lgbm_quant,kr-vs-kp,64,64,2,0.0,0.9389671361502347,0.0,0.9484375,444,0.93974896037182
lgbm_base,kr-vs-kp,8,8,8,0.0,0.9679186228482004,0.0,0.971875,400,0.955791340508806
cegb,breastcancer,512,19,8,0.0625,0.956043956043956,0.0,0.9649122807017544,91,0.9362637362637364
ccp,kr-vs-kp,1,1,8,0.015625,1.2352221208306382,0.0,0.9484375,9,0.93896771037182
lgbm_quant,kr-vs-kp,8,8,8,0.0,0.9679186228482004,0.0,0.971875,400,0.955791340508806
cegb,kr-vs-kp,1,1,1,0.0,0.52660406885759,0.0,0.5046875,3,0.5266060726516634
cegb,breastcancer,256,33,2,0.015625,0.9846153846153848,0.0,0.9649122807017544,207,0.9472527472527472
ccp,kr-vs-kp,128,128,4,0.0,0.0909236209101275,0.0,0.98125,3418,0.9773085861056752
cegb,kr-vs-kp,2,2,8,0.0625,0.9389671361502347,0.0,0.9484375,38,0.9393590998043052
cegb,breastcancer,1024,29,8,0.015625,0.9868131868131867,0.0,0.9736842105263158,275,0.9428571428571428
cegb,kr-vs-kp,128,1,8,0.25,0.52660406885759,0.0,0.5046875,1,0.5266060726516634
cegb,kr-vs-kp,32,8,4,0.0625,0.9389671361502347,0.0,0.9484375,82,0.93896771037182
cegb,kr-vs-kp,16,1,1,0.25,0.52660406885759,0.0,0.5046875,1,0.5266060726516634
cegb,kr-vs-kp,1024,1,2,0.25,0.52660406885759,0.0,0.5046875,1,0.5266060726516634
cegb,breastcancer,512,7,1,0.25,0.931868131868132,0.0,0.9473684210526316,21,0.9076923076923076
cegb,kr-vs-kp,64,64,2,0.0,0.939358372456964,0.0,0.95,442,0.9393575709393346
cegb,breastcancer,1024,7,8,0.25,0.931868131868132,0.0,0.9473684210526316,21,0.9076923076923076
cegb,breastcancer,1024,7,2,0.25,0.931868131868132,0.0,0.9473684210526316,21,0.9076923076923076
cegb,breastcancer,128,7,8,0.25,0.931868131868132,0.0,0.9473684210526316,21,0.9076923076923076
ccp,kr-vs-kp,1,1,2,0.25,1.3834619178255694,0.0,0.5046875,1,0.5266060726516634
cegb,kr-vs-kp,32,32,1,0.0,0.9045383411580594,0.0,0.903125,96,0.9045369068003914
ccp,kr-vs-kp,32,32,4,0.0625,1.383461917825569,0.0,0.5046875,32,0.5266060726516634
cegb,kr-vs-kp,1024,8,4,0.0625,0.9389671361502347,0.0,0.9484375,82,0.93896771037182
ccp,kr-vs-kp,8,8,1,0.0625,1.383461917825569,0.0,0.5046875,8,0.5266060726516634
ccp,kr-vs-kp,256,256,1,0.0625,1.383461917825569,0.0,0.5046875,256,0.5266060726516634
ccp,kr-vs-kp,32,32,8,0.015625,0.77996861999971,0.0,0.903125,80,0.9147130320450098
cegb,breastcancer,128,52,1,0.015625,0.9736263736263736,0.0,0.9649122807017544,156,0.9428571428571428
cegb,kr-vs-kp,1024,1024,1,0.0,0.9581377151799688,0.0,0.965625,3072,0.9530500856164384
ccp,kr-vs-kp,64,64,2,0.0,0.351258658892305,0.0,0.953125,444,0.9444448691291584
cegb,breastcancer,256,256,8,0.0,1.0,0.0,0.9736842105263158,6460,0.9604395604395604
ccp,kr-vs-kp,32,32,2,0.25,1.383461917825569,0.0,0.5046875,32,0.5266060726516634
cegb,breastcancer,1024,19,4,0.0625,0.956043956043956,0.0,0.9649122807017544,91,0.9362637362637364
cegb,kr-vs-kp,1024,8,8,0.0625,0.9573552425665102,0.0,0.9625,108,0.9507040423189824
